session_id,timestamp,user_message,agent_message
sess_001,2026-01-01 10:00:00,如何退货？,签收后7天内可申请退货，请保留原包装。
sess_002,2026-01-01 10:05:23,退款需要多久才能到账？,退货审核通过后3-5个工作日会原路退回您的支付账户。
sess_003,2026-01-01 10:12:45,我的收货地址填错了能改吗？,订单未发货前可在APP订单详情页自行修改地址。
sess_004,2026-01-01 10:20:10,收到商品发现破损怎么办？,请在签收后24小时内拍照联系客服，我们会为您处理。
sess_005,2026-01-01 10:35:30,怎么查看快递到哪了？,进入订单详情点击【查看物流】即可追踪实时位置。
sess_006,2026-01-01 10:42:18,你们支持哪些付款方式？,支持微信支付、支付宝、银行卡及数字人民币支付。
sess_007,2026-01-01 10:50:45,下单后多久发货？,现货商品24小时内发货，预售商品按页面标注时间。
sess_008,2026-01-01 11:00:00,可以开发票吗？,支持增值税普通发票和专用发票，下单时填写开票信息。
sess_009,2026-01-01 11:10:33,会员等级怎么升级？,年消费满500元升银卡，满2000元升金卡，满5000元升钻石卡。
sess_010,2026-01-01 11:20:15,优惠券怎么用？,结算时勾选可用优惠券，特价商品可能不参与活动。
sess_011,2026-01-01 11:30:45,怎么取消订单？,未支付订单可自行取消，已支付订单需申请退款。
sess_012,2026-01-01 11:40:20,可以换货吗？,收货后7天内可申请换货，需保持商品及包装完整。
sess_013,2026-01-01 11:50:00,运费怎么算？,订单满99元包邮，未满99元收取10元基础运费。
sess_014,2026-01-01 12:00:00,客服几点上班？,客服在线时间为每天9:00-22:00，全年无休。
sess_015,2026-01-01 12:10:30,可以指定快递公司吗？,暂不支持指定快递，我们会为您选择最优配送服务。
sess_016,2026-01-01 12:20:15,海外能买吗？,支持全球配送，具体运费可在结算页面查询。
sess_017,2026-01-01 12:30:45,怎么激活会员卡？,登录APP进入会员中心，点击激活按钮即可。
sess_018,2026-01-01 12:40:00,尺码怎么选？,请参考商品详情页的尺码对照表，或咨询客服。
sess_019,2026-01-01 12:50:30,收到错发的商品怎么办？,请拍照并联系客服，我们会尽快为您安排换货。
sess_020,2026-01-01 13:00:00,怎么评价已买的商品？,确认收货后进入订单详情，点击评价即可晒单。
